individual	additiveSNPeff	recessiveSNPeff	domSNPeff	mutationType
St12	8	3	5	initiator_codon_variant
St09	6	2	4	initiator_codon_variant
St07	7	2	5	initiator_codon_variant
St04	10	4	6	initiator_codon_variant
St01	10	2	8	initiator_codon_variant
Se23	8	2	6	initiator_codon_variant
Se18	5	1	4	initiator_codon_variant
Se16	6	1	5	initiator_codon_variant
Se13	9	2	7	initiator_codon_variant
Se08	8	2	6	initiator_codon_variant
Se07	5	2	3	initiator_codon_variant
Se06	5	0	5	initiator_codon_variant
Se02	5	2	3	initiator_codon_variant
Se01	5	2	3	initiator_codon_variant
Po18	5	1	4	initiator_codon_variant
Po16	4	1	3	initiator_codon_variant
Po13	5	1	4	initiator_codon_variant
Po10	9	2	7	initiator_codon_variant
Po08	3	1	2	initiator_codon_variant
Po05	5	1	4	initiator_codon_variant
Po03	4	1	3	initiator_codon_variant
Po01	6	2	4	initiator_codon_variant
Mv24	11	2	9	initiator_codon_variant
Mv19	9	1	8	initiator_codon_variant
Mv16	7	1	6	initiator_codon_variant
Mv12	11	3	8	initiator_codon_variant
Mv11	6	2	4	initiator_codon_variant
Mv08	12	4	8	initiator_codon_variant
Mv07	11	2	9	initiator_codon_variant
Mv06	7	3	4	initiator_codon_variant
Se20	8	2	6	initiator_codon_variant
Mv04	7	1	6	initiator_codon_variant
Mv03	5	1	4	initiator_codon_variant
La17	2	1	1	initiator_codon_variant
La16	2	1	1	initiator_codon_variant
La15	2	1	1	initiator_codon_variant
La14	2	1	1	initiator_codon_variant
La10	3	1	2	initiator_codon_variant
La07	2	1	1	initiator_codon_variant
La06	2	1	1	initiator_codon_variant
Po02	7	2	5	initiator_codon_variant
La04	2	1	1	initiator_codon_variant
La02	2	1	1	initiator_codon_variant
Gz31	10	5	5	initiator_codon_variant
Gz24	7	3	4	initiator_codon_variant
Gz17	10	4	6	initiator_codon_variant
Gz14	10	4	6	initiator_codon_variant
Gz12	12	5	7	initiator_codon_variant
Gz03	10	4	6	initiator_codon_variant
St08	11	3	8	initiator_codon_variant
Gs25	10	2	8	initiator_codon_variant
Gs24	10	2	8	initiator_codon_variant
Gs21	8	2	6	initiator_codon_variant
Gs12	5	1	4	initiator_codon_variant
Gs11	11	4	7	initiator_codon_variant
Gs06	7	1	6	initiator_codon_variant
Gs05	7	1	6	initiator_codon_variant
Se22	5	2	3	initiator_codon_variant
Po07	8	2	6	initiator_codon_variant
Gs04	6	2	4	initiator_codon_variant
Gs02	9	3	6	initiator_codon_variant
Gf21	7	2	5	initiator_codon_variant
Gf15	11	3	8	initiator_codon_variant
Gf06	8	2	6	initiator_codon_variant
Ga15	6	3	3	initiator_codon_variant
Ga11	8	3	5	initiator_codon_variant
Mv13	9	1	8	initiator_codon_variant
Ga10	2	1	1	initiator_codon_variant
Ga09	4	2	2	initiator_codon_variant
Ga08	4	1	3	initiator_codon_variant
Ga06	4	1	3	initiator_codon_variant
Ga05	4	1	3	initiator_codon_variant
Ga04	10	5	5	initiator_codon_variant
Ga03	5	2	3	initiator_codon_variant
Ga02	6	2	4	initiator_codon_variant
Gs22	4	0	4	initiator_codon_variant
Ga01	0	0	0	initiator_codon_variant
Cc22	4	2	2	initiator_codon_variant
Cc20	5	2	3	initiator_codon_variant
Pi67	2	1	1	initiator_codon_variant
Ma59	2	1	1	initiator_codon_variant
Ma96	2	1	1	initiator_codon_variant
Pa69	3	1	2	initiator_codon_variant
La18	4	2	2	initiator_codon_variant
Pa66	1	0	1	initiator_codon_variant
Gz04	9	3	6	initiator_codon_variant
Ma42	3	1	2	initiator_codon_variant
Pi88	2	1	1	initiator_codon_variant
Pa11	2	1	1	initiator_codon_variant
Pa58	2	1	1	initiator_codon_variant
Pa91	1	0	1	initiator_codon_variant
Pa76	4	1	3	initiator_codon_variant
GR03	2	1	1	initiator_codon_variant
Ma30	4	2	2	initiator_codon_variant
Pi44	3	1	2	initiator_codon_variant
Ma71	2	1	1	initiator_codon_variant
Es72	2	1	1	initiator_codon_variant
Am06	10	2	8	initiator_codon_variant
Br13	4	2	2	initiator_codon_variant
Ma95	3	1	2	initiator_codon_variant
Ga07	5	2	3	initiator_codon_variant
Ma100	4	2	2	initiator_codon_variant
Gs15	6	1	5	initiator_codon_variant
Es73	5	2	3	initiator_codon_variant
Mv23	10	1	9	initiator_codon_variant
Ma76	4	2	2	initiator_codon_variant
Gz26	8	2	6	initiator_codon_variant
Pi78	2	1	1	initiator_codon_variant
Es9	2	1	1	initiator_codon_variant
Ma94	2	1	1	initiator_codon_variant
Pa49	0	0	0	initiator_codon_variant
GB04	4	2	2	initiator_codon_variant
Pa43	3	1	2	initiator_codon_variant
Pa46	2	0	2	initiator_codon_variant
Ca06	3	1	2	initiator_codon_variant
Pi52	2	1	1	initiator_codon_variant
Se12	4	1	3	initiator_codon_variant
Es65-1	3	0	3	initiator_codon_variant
Ma74	2	1	1	initiator_codon_variant
Gf10	5	1	4	initiator_codon_variant
Gf02	9	3	6	initiator_codon_variant
Ma46	4	2	2	initiator_codon_variant
