pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
AA	chr1	1	1000000	0.004472703928812473	205513	39616	8857282	93626
AA	chr1	1000001	2000000	0.003975133261980102	154759	26106	6567327	74516
AA	chr1	2000001	3000000	0.004395328690260169	136355	26068	5930842	58512
AA	chr1	3000001	4000000	0.004135506725483959	169738	30710	7425934	41524
AA	chr1	4000001	5000000	0.004763201705009863	164030	33421	7016499	63362
AA	chr1	5000001	6000000	0.004027583898960259	156563	25996	6454490	112096
AA	chr1	6000001	7000000	0.004463664842009464	162071	29977	6715782	138398
AA	chr1	7000001	8000000	0.004404832962605224	133624	24781	5625866	76978
AA	chr1	8000001	9000000	0.005251041336699839	140169	30601	5827606	78662
AA	chr1	9000001	10000000	0.005219000756147934	164775	34683	6645525	126254
AA	chr1	10000001	11000000	0.004370931829922177	172384	32187	7363876	73542
AA	chr1	11000001	12000000	0.0033712009307467444	172834	23975	7111709	125172
AA	chr1	12000001	13000000	0.0047409815833059235	203303	39090	8245128	146638
AA	chr1	13000001	14000000	0.005151586069084233	184356	39887	7742664	89554
AA	chr1	14000001	15000000	0.003833541672002505	110486	18560	4841476	22108
AA	chr1	15000001	16000000	0.004200493219203803	151111	27125	6457575	93526
AA	chr1	16000001	17000000	0.00409172462087528	185741	32692	7989785	71494
AA	chr1	17000001	18000000	0.0042596738958402235	200558	37545	8814055	32684
AA	chr1	18000001	19000000	0.003951661268136687	203222	34046	8615617	88638
AA	chr1	19000001	20000000	0.004197543956865261	205313	35860	8543091	160106
AA	chr1	20000001	21000000	0.004059622009570503	199793	34530	8505718	95998
AA	chr1	21000001	22000000	0.0038000358486526007	177411	28981	7626507	79336
AA	chr1	22000001	23000000	0.003297472074878661	148005	20890	6335156	80568
AA	chr1	23000001	24000000	0.004600415651292757	142033	27194	5911205	82854
AA	chr1	24000001	25000000	0.003945217257332577	203093	34800	8820807	66676
AA	chr1	25000001	26000000	0.004513645764612078	196923	39032	8647555	34508
AA	chr1	26000001	27000000	0.0047672280555942975	194592	40197	8431944	80018
AA	chr1	27000001	28000000	0.004618367487803105	185844	37938	8214591	23544
AA	chr1	28000001	29000000	0.005404179740718525	196103	45355	8392578	97178
AA	chr1	29000001	30000000	0.005240706258331446	123880	28491	5436481	23152
Am	chr1	1	1000000	0.005629858584605393	208331	709529	126029631	205862
Am	chr1	1000001	2000000	0.006157734975955374	156371	576827	93675191	164686
Am	chr1	2000001	3000000	0.006693985106391501	139184	544815	81388738	228276
Am	chr1	3000001	4000000	0.006192191444843308	170705	636270	102753606	161716
Am	chr1	4000001	5000000	0.006486033709918998	164753	635365	97958942	205820
Am	chr1	5000001	6000000	0.007026385717104221	156565	636271	90554522	428924
Am	chr1	6000001	7000000	0.009229735240813398	167251	891809	96623465	296842
Am	chr1	7000001	8000000	0.007784419615830365	135963	625454	80346902	188104
Am	chr1	8000001	9000000	0.008020476644488687	141233	673116	83924688	173812
Am	chr1	9000001	10000000	0.008070604523909546	166397	796829	98732257	211358
Am	chr1	10000001	11000000	0.007823777776523991	174118	815376	104217684	180180
Am	chr1	11000001	12000000	0.008066591901601868	175469	840080	104143114	222720
Am	chr1	12000001	13000000	0.007784624253948703	204934	868222	111530367	699262
Am	chr1	13000001	14000000	0.006048269287563693	185417	676626	111871011	157510
Am	chr1	14000001	15000000	0.006389894190507271	110246	430883	67431946	87348
Am	chr1	15000001	16000000	0.007099678600160649	155350	657655	92631658	173484
Am	chr1	16000001	17000000	0.007103402784725261	187353	791967	111491214	221244
Am	chr1	17000001	18000000	0.006881110262291777	199681	819865	119147197	270074
Am	chr1	18000001	19000000	0.006968217189882391	203949	793576	113885084	596472
Am	chr1	19000001	20000000	0.005995263656859103	211108	763080	127280474	194356
Am	chr1	20000001	21000000	0.006330178866431441	202286	754832	119243392	284556
Am	chr1	21000001	22000000	0.004708840890454919	179650	504683	107177756	242084
Am	chr1	22000001	23000000	0.005694507675503028	151219	518463	91046150	142708
Am	chr1	23000001	24000000	0.0061614914539832024	141900	491365	79747737	418294
Am	chr1	24000001	25000000	0.005753195099389014	205149	718793	124938054	134496
Am	chr1	25000001	26000000	0.0052027166395185835	197289	622591	119666521	156586
Am	chr1	26000001	27000000	0.005661873732072476	197485	665244	117495379	249742
Am	chr1	27000001	28000000	0.006258026271983191	186080	700130	111877127	183022
Am	chr1	28000001	29000000	0.006237724783416132	199743	750413	120302358	185416
Am	chr1	29000001	30000000	0.006636363074364255	124019	501324	75541979	87470
Br	chr1	1	1000000	0.002200411245062881	208551	122881	55844561	105950
Br	chr1	1000001	2000000	0.0012573120273933515	154816	51606	41044704	143528
Br	chr1	2000001	3000000	0.0024821535065980313	136632	91429	36834547	109602
Br	chr1	3000001	4000000	0.0029186388941465865	169199	131717	45129598	128700
Br	chr1	4000001	5000000	0.0018666308916698063	162676	80923	43352438	145876
Br	chr1	5000001	6000000	0.0015240578149834088	157916	65163	42756252	85592
Br	chr1	6000001	7000000	0.0026548012581529223	165576	117187	44141534	128772
Br	chr1	7000001	8000000	0.001926421813607448	134608	69703	36182626	85996
Br	chr1	8000001	9000000	0.003477622227953558	140029	130281	37462666	95156
Br	chr1	9000001	10000000	0.003955248941217406	159717	156779	39638213	425454
Br	chr1	10000001	11000000	0.0026249332014591197	173859	124299	47353205	41270
Br	chr1	11000001	12000000	0.004029999832167256	175445	186093	46176925	138318
Br	chr1	12000001	13000000	0.0024981662906327206	199831	135500	54239784	187192
Br	chr1	13000001	14000000	0.0014534580072971713	184730	72913	50165192	61544
Br	chr1	14000001	15000000	0.001884374703682288	106838	53756	28527235	154754
Br	chr1	15000001	16000000	0.0013936757966334123	151982	56872	40807195	147218
Br	chr1	16000001	17000000	0.001563899344542157	185115	78043	49902828	127392
Br	chr1	17000001	18000000	0.004051261857311919	198460	213817	52777877	166958
Br	chr1	18000001	19000000	0.004420341875643079	203883	242019	54751195	98106
Br	chr1	19000001	20000000	0.0020249345133978042	209391	114484	56537137	121886
Br	chr1	20000001	21000000	0.0027087041288480986	202438	146428	54058322	104492
Br	chr1	21000001	22000000	0.001520982673242136	178465	73381	48245783	100378
Br	chr1	22000001	23000000	0.00181562637478749	151229	74576	41074530	36516
Br	chr1	23000001	24000000	0.002510938385083832	142870	92950	37018033	165222
Br	chr1	24000001	25000000	0.0017920240323736957	199769	96491	53844702	205684
Br	chr1	25000001	26000000	0.0016441987308672254	194020	86147	52394518	142828
Br	chr1	26000001	27000000	0.0022518430212619517	194636	117476	52168823	162858
Br	chr1	27000001	28000000	0.001147520831389919	183215	56980	49654872	121856
Br	chr1	28000001	29000000	0.001577493593730857	199237	84285	53429694	108796
Br	chr1	29000001	30000000	0.0017277728755053946	123932	57460	33256686	58196
C_Europe	chr1	1	1000000	0.0026511496757679388	209041	15335	5784283	13018
C_Europe	chr1	1000001	2000000	0.0026805882341877736	156035	11402	4253544	25808
C_Europe	chr1	2000001	3000000	0.004561519887494362	139002	17191	3768700	22408
C_Europe	chr1	3000001	4000000	0.003909158244077443	170746	18393	4705105	13862
C_Europe	chr1	4000001	5000000	0.005142937185072667	164898	22874	4447653	27670
C_Europe	chr1	5000001	6000000	0.004375767136010006	159358	18752	4285420	32352
C_Europe	chr1	6000001	7000000	0.005119341175905276	166984	22160	4328682	60652
C_Europe	chr1	7000001	8000000	0.005789073750974117	135714	20867	3604549	37302
C_Europe	chr1	8000001	9000000	0.006576769955751959	141101	24104	3665021	50814
C_Europe	chr1	9000001	10000000	0.006629984649305383	166214	28350	4276028	68560
C_Europe	chr1	10000001	11000000	0.0050178694754318106	174147	23599	4702992	28784
C_Europe	chr1	11000001	12000000	0.004643012275949369	175410	22169	4774702	24028
C_Europe	chr1	12000001	13000000	0.004649089026963077	205486	26089	5611637	22990
C_Europe	chr1	13000001	14000000	0.005204720384828842	185399	26343	5061367	21266
C_Europe	chr1	14000001	15000000	0.004794839923588862	110680	14026	2925228	29792
C_Europe	chr1	15000001	16000000	0.004326650755577164	155047	18065	4175285	29974
C_Europe	chr1	16000001	17000000	0.004073784546851141	187350	20225	4964671	49962
C_Europe	chr1	17000001	18000000	0.005225968368809418	200636	28390	5432486	32972
C_Europe	chr1	18000001	19000000	0.00467636554084618	204464	25876	5533357	33286
C_Europe	chr1	19000001	20000000	0.00356828446441136	210920	20473	5737491	28754
C_Europe	chr1	20000001	21000000	0.0032113043808196257	200571	17435	5429258	50052
C_Europe	chr1	21000001	22000000	0.0037998222012646157	180093	18824	4953916	15552
C_Europe	chr1	22000001	23000000	0.004226581211883707	149949	16879	3993535	46178
C_Europe	chr1	23000001	24000000	0.003925794922810508	142935	14917	3799740	38296
C_Europe	chr1	24000001	25000000	0.0034926203258265993	205109	19237	5507899	39442
C_Europe	chr1	25000001	26000000	0.0030201878667153984	197051	16155	5349005	33438
C_Europe	chr1	26000001	27000000	0.0034824182614806706	197416	18721	5375862	28524
C_Europe	chr1	27000001	28000000	0.0032805682384744964	185671	16680	5084485	24438
C_Europe	chr1	28000001	29000000	0.0033316248077908763	199257	18252	5478408	21128
C_Europe	chr1	29000001	30000000	0.003686015710159246	123361	12461	3380615	18522
Ca	chr1	1	1000000	0.00541596918643321	208365	129919	23988135	98594
Ca	chr1	1000001	2000000	0.005264586880417352	155959	93616	17782212	80920
Ca	chr1	2000001	3000000	0.0058376172297794375	139127	92681	15876512	72624
Ca	chr1	3000001	4000000	0.005301737760558381	170332	104577	19725042	66428
Ca	chr1	4000001	5000000	0.006574707278735997	164825	123620	18802358	80668
Ca	chr1	5000001	6000000	0.0064486026719567545	159526	115860	17966683	91418
Ca	chr1	6000001	7000000	0.007353475099518475	166390	135700	18453860	140216
Ca	chr1	7000001	8000000	0.006148854441548283	135934	89043	14481234	165140
Ca	chr1	8000001	9000000	0.006105659650525513	140641	96937	15876581	94070
Ca	chr1	9000001	10000000	0.007406858079181499	166400	136333	18406320	128800
Ca	chr1	10000001	11000000	0.005853895005696	174049	116266	19861306	82668
Ca	chr1	11000001	12000000	0.005303212124395783	171003	101157	19074666	199444
Ca	chr1	12000001	13000000	0.006946851994244648	205408	161104	23190936	119216
Ca	chr1	13000001	14000000	0.006229536282190262	185040	129884	20849706	128116
Ca	chr1	14000001	15000000	0.005593739045011641	110760	72794	13013478	25196
Ca	chr1	15000001	16000000	0.005978014297607968	155199	104897	17547131	92314
Ca	chr1	16000001	17000000	0.004886103938075581	186820	105045	21498724	86336
Ca	chr1	17000001	18000000	0.0051941345949547465	200795	123063	23692686	31580
Ca	chr1	18000001	19000000	0.00607380708952186	204393	137718	22674082	162996
Ca	chr1	19000001	20000000	0.005914925408579911	209410	142216	24043583	114450
Ca	chr1	20000001	21000000	0.005913940765929139	202489	136692	23113522	99996
Ca	chr1	21000001	22000000	0.005680858256179525	179423	116242	20462049	97030
Ca	chr1	22000001	23000000	0.006100032689667284	151125	105730	17332694	67644
Ca	chr1	23000001	24000000	0.005426651847831691	143369	86511	15941874	109412
Ca	chr1	24000001	25000000	0.005126652385142049	205103	120418	23488622	96396
Ca	chr1	25000001	26000000	0.004832220940037259	197260	110713	22911411	60930
Ca	chr1	26000001	27000000	0.005189077738094911	197319	116987	22544854	97324
Ca	chr1	27000001	28000000	0.005258971452461028	185971	114320	21738091	49746
Ca	chr1	28000001	29000000	0.005626557110003833	199360	124014	22040832	173848
Ca	chr1	29000001	30000000	0.004975892867879978	123994	71997	14469162	33804
Cc	chr1	1	1000000	0.003027759860044534	209129	388760	128398558	110024
Cc	chr1	1000001	2000000	0.0037172769065592177	156454	351113	94454357	144482
Cc	chr1	2000001	3000000	0.0038594013707319006	139161	327000	84728166	102260
Cc	chr1	3000001	4000000	0.003835565555762637	170530	394334	102809871	182514
Cc	chr1	4000001	5000000	0.0038380723216494637	164802	377075	98245934	210276
Cc	chr1	5000001	6000000	0.003727877699183658	159097	358741	96231966	149884
Cc	chr1	6000001	7000000	0.004790464808329381	166523	465913	97258412	313492
Cc	chr1	7000001	8000000	0.003607788890572907	135863	297837	82553888	105612
Cc	chr1	8000001	9000000	0.005381857668235148	141233	428853	79684939	332494
Cc	chr1	9000001	10000000	0.005223041489099998	162596	456206	87344893	712254
Cc	chr1	10000001	11000000	0.002990769324265468	174152	318897	106627080	124012
Cc	chr1	11000001	12000000	0.003972852399778373	175483	430594	108384092	70500
Cc	chr1	12000001	13000000	0.005024822986488256	205344	623413	124066659	203134
Cc	chr1	13000001	14000000	0.004415505680589817	185362	486867	110263022	244592
Cc	chr1	14000001	15000000	0.004717295595583713	110702	306744	65025393	183910
Cc	chr1	15000001	16000000	0.004080394020466924	154812	373463	91526210	246484
Cc	chr1	16000001	17000000	0.003938147954665234	187439	445805	113201689	164086
Cc	chr1	17000001	18000000	0.005922260894572037	200822	717191	121100879	183278
Cc	chr1	18000001	19000000	0.0041899118268938235	204575	514412	122773944	255096
Cc	chr1	19000001	20000000	0.0029247158623560503	209263	375664	128444614	183028
Cc	chr1	20000001	21000000	0.0031340158587559886	202570	384417	122659558	163016
Cc	chr1	21000001	22000000	0.0031641713021433424	179163	345812	109289911	163582
Cc	chr1	22000001	23000000	0.0047078866595090495	151309	423750	90008539	182746
Cc	chr1	23000001	24000000	0.004039128279099406	143105	341211	84476396	198208
Cc	chr1	24000001	25000000	0.0034685102164562997	200237	416507	120082391	390038
Cc	chr1	25000001	26000000	0.0030070718433075462	194673	355791	118318091	249174
Cc	chr1	26000001	27000000	0.003422455589321135	197487	405355	118439813	234714
Cc	chr1	27000001	28000000	0.002934092479390525	186033	327139	111495804	221724
Cc	chr1	28000001	29000000	0.003576310824786813	199795	432007	120796827	174134
Cc	chr1	29000001	30000000	0.004236621558256029	124029	318651	75213468	99180
Es	chr1	1	1000000	0.0012958045903627032	209175	2574216	1986577312	370108
Es	chr1	1000001	2000000	0.001564041769957277	156473	2303741	1472940841	378090
Es	chr1	2000001	3000000	0.001897872342014554	139186	2490378	1312194685	319910
Es	chr1	3000001	4000000	0.002258474202370334	170860	3619600	1602674937	458494
Es	chr1	4000001	5000000	0.0016812904172364555	164908	2597926	1545197649	454174
Es	chr1	5000001	6000000	0.003232511353323548	159538	4796501	1483831138	525932
Es	chr1	6000001	7000000	0.00345521838738386	167289	5381892	1557612688	533172
Es	chr1	7000001	8000000	0.003883357692867996	135963	4864389	1252624503	538662
Es	chr1	8000001	9000000	0.0037948110732209904	141233	4956048	1306006519	522798
Es	chr1	9000001	10000000	0.002855964191145126	166456	4472448	1566002828	406784
Es	chr1	10000001	11000000	0.0028537392085711496	174231	4666216	1635123485	458674
Es	chr1	11000001	12000000	0.002617351122198812	175495	4337274	1657123480	382900
Es	chr1	12000001	13000000	0.0020977674636406805	205503	4089027	1949227963	382486
Es	chr1	13000001	14000000	0.002127726498997487	185417	3708002	1742706124	467396
Es	chr1	14000001	15000000	0.0025713893698596554	110818	2652773	1031649672	359864
Es	chr1	15000001	16000000	0.002533495898733105	155350	3682592	1453561461	443134
Es	chr1	16000001	17000000	0.0020153675784359655	187456	3543804	1758390895	499794
Es	chr1	17000001	18000000	0.0021094790372080865	200845	3990294	1891601637	476378
Es	chr1	18000001	19000000	0.002555100101045248	204580	4883672	1911342729	606166
Es	chr1	19000001	20000000	0.0020207110960474223	211108	4014951	1986900061	510158
Es	chr1	20000001	21000000	0.0023150677248834103	202601	4421098	1909705687	468110
Es	chr1	21000001	22000000	0.004638583078855465	180115	7812114	1684159552	530580
Es	chr1	22000001	23000000	0.0048705104065425	151340	6772160	1390441542	658636
Es	chr1	23000001	24000000	0.0035912025722569345	143400	4794163	1334974261	465926
Es	chr1	24000001	25000000	0.0012476181335291587	205153	2417596	1937769206	445600
Es	chr1	25000001	26000000	0.0014840059242241627	197381	2760360	1860073437	462210
Es	chr1	26000001	27000000	0.001979439150898892	197577	3708401	1873460469	373698
Es	chr1	27000001	28000000	0.0010767335063920263	186139	1898362	1763075068	365972
Es	chr1	28000001	29000000	0.001753992487684704	199795	3326401	1896473915	360758
Es	chr1	29000001	30000000	0.0037009955149828275	124029	4321298	1167604225	304386
GB	chr1	1	1000000	0.002479486464820441	209113	14367	5794345	11014
GB	chr1	1000001	2000000	0.0035109223933683605	156350	15152	4315675	11330
GB	chr1	2000001	3000000	0.0037363888503455446	139115	14164	3790826	18940
GB	chr1	3000001	4000000	0.003674189235864891	170788	17254	4696002	14716
GB	chr1	4000001	5000000	0.002593384990951983	164768	11604	4474461	25110
GB	chr1	5000001	6000000	0.004003201814454899	159354	17149	4283821	31006
GB	chr1	6000001	7000000	0.0050977435731579274	166513	22382	4390570	55060
GB	chr1	7000001	8000000	0.003938295390474482	135889	14403	3657166	26004
GB	chr1	8000001	9000000	0.005671656825721602	141083	21283	3752519	34810
GB	chr1	9000001	10000000	0.006250293925088559	166183	25385	4061409	107062
GB	chr1	10000001	11000000	0.00498463702428947	174172	23786	4771862	17876
